cutomer_id,customer_firstname,customer_lastname,customer_title,customer_phone,customer_email,customer_membership,delivery_fee,customer_building,customer_street, customer_city, customer_region, customer_postcode,promo_code
YKQ-67131,Lorie,Tregenna,Dr,+44 132 978 2892,ltregenna15@hibu.com,not membership,4.99,511,Chestnut Street,East Shirley,West Sussex,KW12 8WH,UD91E934CWH
HUP-60554,Gilberte,Beardon,Honorable,+44 481 677 3699,gbeardon16@xrea.com,not membership,2.99,682,Pine Street,Lake Hannahburgh,Dorset,PO3 9HQ,HI32R212JJJ
ZLR-94414,Edward,Cottle,Honorable,+44 890 456 6204,ecottle17@t.co,not membership,4.99,476,Pine Street,West Julianbury,Caernarvonshire,E6 3SQ,MI17S357LMP
NZY-50783,Kory,Grumell,Mrs,+44 574 721 5344,kgrumell18@vimeo.com,not membership,4.99,700,Birch Street,Eileenport,Warwickshire,NR1 7DE,SP74C584DZW
DNK-63427,Drusilla,Such,Mrs,+44 928 253 6613,dsuch19@blogspot.com,membership,0,976,Oak Street,Edwardmouth,Shropshire,HP4 0BH,DH91Y202BTQ
BVT-77023,Ariana,Dreinan,Rev,+44 763 297 4178,adreinan1a@rakuten.co.jp,membership,0,783,Spruce Street,West Charles,Anglesey,SG7 3PJ,ZV26P934AQY
SOT-54635,Mureil,ducarme,Mrs,+44 937 945 7271,mducarme1b@miitbeian.gov.cn,membership,0,190,Oak Street,South Charles,Perth and Kinross,WC8 6EQ,GW90R208FHX
FMX-77248,Jacklin,Dewhirst,Rev,+44 713 622 1403,jdewhirst1c@vk.com,not membership,4.99,958,Elm Street,Port Jennifer,City of Edinburgh,GY5W 7FN,DO06X958TLI
FGR-91292,Jenn,Snel,Rev,+44 630 218 4206,jsnel1d@foxnews.com,membership,0,687,Chestnut Street,Billymouth,East Sussex,N13 2LZ,XV31D268UKD
WDD-19695,Thibaut,Fiddian,Honorable,+44 573 576 7068,tfiddian1e@weebly.com,membership,0,958,Ash Street,Wrightport,Clackmannanshire,G3E 2JR,YK02Q636TWH
IEY-00277,Arlinda,Minghi,Ms,+44 301 528 7404,aminghi1f@delicious.com,membership,0,563,Cedar Street,Nathanstad,Greater London,S8 8AS,CB85T049FZG
NWH-68847,Torrance,Rainsbury,Ms,+44 817 289 7314,trainsbury1g@bluehost.com,not membership,6.99,876,Elm Street,Lake Sheila,South Yorkshire,UB8M 7UJ,NN11A214ONP
TML-79989,Buffy,Tottem,Mrs,+44 118 524 7859,btottem1h@jimdo.com,not membership,2.99,567,Cedar Street,Lake Carl,Dorset,E64 9TJ,UZ54H273LNI
ASF-42284,Alma,Harrigan,Mrs,+44 297 949 1488,aharrigan1i@ning.com,membership,0,244,Cedar Street,Port Martynmouth,Antrim,B1T 7GH,MY41S047EZA
EZN-05791,Giorgia,Tomovic,Mr,+44 536 819 4209,gtomovic1j@hatena.ne.jp,membership,0,832,Ash Street,South Jakeborough,Armagh,RG36 5AS,ZN61Q768WWH
VQR-70460,Valle,Cavanagh,Honorable,+44 370 925 1955,vcavanagh1k@prweb.com,not membership,4.99,505,Maple Street,Garryberg,Leicestershire,G35 3YW,ZV85V308DTI
ZPY-93321,Mickie,Kluge,Rev,+44 104 560 3456,mkluge1l@aol.com,membership,0,131,Oak Street,Jonesstad,Denbighshire,W7 6TW,XQ96G384XHY
KCN-55575,Jannelle,Gearty,Ms,+44 162 547 4313,jgearty1m@tinyurl.com,not membership,6.99,485,Pine Street,Lake Joshborough,Inverclyde,L13 4AZ,XT13D149ZWL
YXN-62968,Edmund,Koppens,Mr,+44 643 634 9216,ekoppens1n@baidu.com,membership,0,819,Willow Street,Port Hollieburgh,Surrey,DT8X 1SA,SW07F450GPE
TAE-31344,Iain,Moorcroft,Mr,+44 406 606 5126,imoorcroft1o@i2i.jp,membership,0,647,Cedar Street,Tinachester,Dumfries and Galloway,OX4P 3EY,YV45W074SOK
YXP-97902,Gertie,Brogi,Dr,+44 609 783 2361,gbrogi1p@latimes.com,not membership,4.99,21,Chestnut Street,Lake Shaunland,Moray,SO25 9UE,WY04C498RNI
KBL-88890,Fee,Starton,Mrs,+44 104 948 1156,fstarton1q@merriam-webster.com,membership,0,841,Elm Street,Cliffordfort,Orkney Islands,NP3 0AS,KB42K202YAX
IWI-07954,Aveline,MacGregor,Honorable,+44 283 471 4472,amacgregor1r@dot.gov,not membership,2.99,167,Maple Street,West Angela,East Sussex,BN13 5UR,VE47W384CZP
NPO-10922,Jami,Bradborne,Dr,+44 643 699 6786,jbradborne1s@123-reg.co.uk,membership,0,274,Cedar Street,Lake Frederick,Essex,E7 5EN,IR52D351YAP
TXX-30500,Glad,Shirland,Ms,+44 740 827 7675,gshirland1t@cbsnews.com,not membership,4.99,388,Maple Street,Lake Adrianmouth,Tyrone,SO8 7DH,MM94R954KJR
RWO-80666,Ainsley,Iacovozzo,Ms,+44 478 587 9435,aiacovozzo1u@instagram.com,membership,0,601,Maple Street,Wallacemouth,Dundee City,M4E 5EZ,XI87T096RAD
TYU-56030,Grata,Hilbourne,Rev,+44 485 208 1038,ghilbourne1v@g.co,membership,0,316,Cedar Street,New Karlland,Surrey,WS4 1HA,NV19L684YVS
SSV-04596,Ronda,Grinyer,Mr,+44 913 711 7884,rgrinyer1w@un.org,not membership,4.99,14,Birch Street,North Matthew,Denbighshire,PO5 8QG,SF86H048CHY
JVE-25104,Caron,Henworth,Ms,+44 121 394 7436,chenworth1x@imageshack.us,membership,0,242,Spruce Street,Haleville,West Berkshire,E4J 7GY,DQ03C964KIZ
DXQ-32741,Weider,Shone,Mrs,+44 630 561 6695,wshone1y@tamu.edu,membership,0,777,Chestnut Street,South Alexanderchester,Durham,M6K 6GR,LQ87N244AUW
KDY-34831,Marijo,Dunstall,Rev,+44 346 993 8011,mdunstall1z@wikipedia.org,not membership,2.99,346,Pine Street,West Deanberg,Inverclyde,S1 0SY,AH32C120BIV
YDY-00239,Birdie,Shewring,Mrs,+44 536 408 7105,bshewring20@cdc.gov,not membership,5.99,565,Pine Street,West Karen,Carmarthenshire,B6U 1JU,TJ14W055CAF
MTC-94752,Baxy,Dosedale,Honorable,+44 933 998 5743,bdosedale21@plala.or.jp,membership,0,898,Chestnut Street,Scottchester,Durham,JE7X 0BF,HL72K489ANT
OPD-34081,Alessandra,Milsom,Honorable,+44 186 709 8567,amilsom22@arstechnica.com,not membership,4.99,340,Birch Street,Carlyfort,Down,ZE45 8JB,EE23E882TUJ
YSK-55846,Madlin,Bosch,Honorable,+44 825 609 6234,mbosch23@is.gd,not membership,4.99,92,Pine Street,North Nathan,Falkirk,G47 9GU,RY10S203LLL
BMV-68778,Winfield,Gilloran,Mrs,+44 149 341 3765,wgilloran24@issuu.com,not membership,2.99,367,Maple Street,Fitzgeraldmouth,West Lothian,B7K 9DY,JU08H353ZBL
MVN-17758,Torie,Clemence,Honorable,+44 955 166 1791,tclemence25@squarespace.com,membership,0,956,Ash Street,East Julianhaven,Shetland Islands,PL6 5LE,DO72V423CHB
LIZ-77971,Babs,Irnys,Ms,+44 391 167 4129,birnys26@e-recht24.de,membership,0,455,Elm Street,New Zoeside,Northumberland,E7 5EZ,CH41Y059ZXK
YFL-42376,Estevan,McCarrick,Ms,+44 930 341 3899,emccarrick27@mediafire.com,membership,0,428,Oak Street,Marilynland,West Dunbartonshire,CM57 4RZ,KW19K306NRV
NYD-84187,Carce,Keme,Mrs,+44 413 293 9874,ckeme28@godaddy.com,membership,0,509,Pine Street,Dominicmouth,West Lothian,LU7M 4QZ,BT87I385FCE
QRV-60561,Dale,Mugleston,Mrs,+44 172 135 3316,dmugleston29@theguardian.com,not membership,4.99,776,Chestnut Street,Lindseyfurt,West Dunbartonshire,S7 0QS,GG21Z196ZGL
ZBD-55118,Hillery,Rigden,Mrs,+44 851 396 2791,hrigden2a@yale.edu,membership,0,943,Ash Street,Josephineburgh,Merseyside,DN3 7YN,WH68Z951QPI
XYD-54715,Goran,Durtnell,Rev,+44 696 225 5624,gdurtnell2b@psu.edu,not membership,3.99,35,Cedar Street,Thompsonview,East Ayrshire,G76 0TP,RH50Q931WLE
RDW-54340,Benyamin,Markovich,Rev,+44 518 699 9741,bmarkovich2c@skyrock.com,membership,0,206,Spruce Street,Annahaven,Hertfordshire,TW8R 0EW,KV55Y383TJX
WFS-10864,Vale,De Luna,Mrs,+44 338 236 5722,vdeluna2d@ycombinator.com,membership,0,81,Chestnut Street,Lawrenceburgh,Cleveland,DA2 3NB,EN71I823TLT
MWK-21287,Walden,Binley,Mr,+44 949 644 9816,wbinley2e@redcross.org,membership,0,932,Maple Street,Farmerton,North Lanarkshire,WC5 1GL,KA22R874PZV
CYV-20980,Jori,Challis,Mrs,+44 813 787 9379,jchallis2f@dagondesign.com,not membership,4.99,562,Spruce Street,South Scott,Radnorshire,RH5R 4SD,LR20J003OKH
JZW-77084,Dar,Canelas,Ms,+44 984 858 7999,dcanelas2g@so-net.ne.jp,not membership,5.99,872,Elm Street,Lake Sian,Greater Manchester,SP3M 1XW,UG25V660WPC
SWQ-82963,Shanna,Blincowe,Rev,+44 497 951 9075,sblincowe2h@princeton.edu,membership,0,388,Elm Street,Harrisberg,Glasgow City,DG7 3PX,QL24Y251GXM
BFB-40374,Vikky,Ivery,Mr,+44 643 696 8820,vivery2i@blog.com,not membership,2.99,2,Birch Street,Francismouth,North Yorkshire,OX17 3AR,ID11W304ZBN
XBI-79339,Robinet,Alfonso,Mrs,+44 762 633 3692,ralfonso2j@imdb.com,membership,0,390,Willow Street,Ronaldland,Argyll and Bute,TF2E 9JW,CB60U987TXU
YYJ-70942,Tiphany,Ironmonger,Mrs,+44 239 596 4627,tironmonger2k@go.com,membership,0,566,Birch Street,Mohammadshire,Surrey,B3J 5FN,RP87D682ONN
DOE-95306,Ricca,Twinberrow,Dr,+44 334 918 6753,rtwinberrow2l@reference.com,membership,0,106,Ash Street,Geraldborough,Caernarvonshire,L8H 5BA,NH49S189WSS
SXQ-85440,Vivi,Bambrugh,Honorable,+44 949 174 5401,vbambrugh2m@businessinsider.com,not membership,3.99,772,Spruce Street,Turnerfurt,Stirling,LA0 3AY,TZ66Y987AGS
LRO-88912,Chery,Vynarde,Rev,+44 427 700 5416,cvynarde2n@networkadvertising.org,membership,0,822,Willow Street,Lake Lydia,Merionethshire,PL4H 7QH,HF00R773RZJ
VBH-71807,Joshia,Fairchild,Honorable,+44 982 655 7613,jfairchild2o@time.com,membership,0,477,Cedar Street,Patelstad,Scottish Borders,L3S 5RR,XJ88G023VJB
YAG-27276,Valida,Jump,Rev,+44 250 232 7984,vjump2p@go.com,membership,0,703,Maple Street,New Amanda,Glasgow City,OL3A 1ZU,GT35S162VKN
BWT-93319,Guinna,Nielson,Rev,+44 881 546 7337,gnielson2q@samsung.com,membership,0,402,Spruce Street,Oliviahaven,Renfrewshire,N5S 2LT,YT72H493VKW
JNT-37473,Marilin,Tinn,Mr,+44 367 819 1999,mtinn2r@tripod.com,membership,0,730,Birch Street,New Steven,Moray,CO7V 4SQ,OY54H782RVR
RJX-59133,Brandon,Divis,Mrs,+44 734 385 5437,bdivis2s@irs.gov,not membership,5.99,556,Oak Street,Clarkfurt,Greater London,CV45 8SU,CS57V900SKD
AAO-69393,May,Prier,Ms,+44 198 801 7189,mprier2t@creativecommons.org,not membership,5.99,162,Willow Street,Wilsonhaven,Inverclyde,SG2H 2ZU,SQ31Z981FQN
SEP-98075,Brena,Tann,Mrs,+44 255 389 7088,btann2u@ucla.edu,membership,0,202,Willow Street,East Stanley,Moray,CW96 0JA,AC22U519HND
IUM-38167,Chic,Desantis,Mrs,+44 205 808 8653,cdesantis2v@europa.eu,not membership,6.99,958,Maple Street,Quinnberg,Angus,G6 8GH,WQ00H700PPO
QGL-64016,Zane,Castard,Honorable,+44 567 791 7464,zcastard2w@skyrock.com,not membership,5.99,996,Pine Street,New Louise,Perth and Kinross,B97 8WQ,KQ79W997NNE
QFS-92539,Kennedy,Dawnay,Rev,+44 354 811 5877,kdawnay2x@washingtonpost.com,not membership,4.99,270,Elm Street,Lake Jademouth,North Lanarkshire,BL5 4DN,QP71U879SES
SAX-35594,Lexine,Wagg,Honorable,+44 558 153 2001,lwagg2y@samsung.com,not membership,3.99,863,Elm Street,West Glen,Norfolk,L6F 4EL,OS98I558XMZ
KGP-14913,Nicola,Linggood,Dr,+44 394 338 9799,nlinggood2z@alexa.com,membership,0,816,Oak Street,New Rebeccastad,Highland,EN9 4XA,CA46G100UUR
KJO-79467,Margi,Ricketts,Rev,+44 303 367 1666,mricketts30@spiegel.de,membership,0,271,Ash Street,Kirstyland,Lancashire,W6W 8US,KB90Y512CFC
ANQ-47077,Melicent,Hrycek,Honorable,+44 736 952 2309,mhrycek31@example.com,membership,0,456,Ash Street,Karenbury,Northamptonshire,SG1 6LL,PC12C960BTV
FMD-09386,Andrej,Wiles,Mr,+44 794 290 6434,awiles32@addthis.com,membership,0,462,Cedar Street,West Ronald,Dumfries and Galloway,MK7E 0NJ,GA64N135MCD
CSO-98321,Hatti,Leeves,Dr,+44 117 215 8131,hleeves33@adobe.com,membership,0,727,Spruce Street,Lake Georgiamouth,Wiltshire,W3 5EW,AJ01G627JOF
KIC-74606,Udell,Signe,Dr,+44 389 550 4546,usigne34@sciencedirect.com,membership,0,252,Chestnut Street,South Wayne,City of Edinburgh,M00 1NJ,WF28J485ABA
KUK-75858,Elsie,Wittrington,Ms,+44 849 871 1333,ewittrington35@sphinn.com,not membership,3.99,702,Pine Street,Cheryltown,Merseyside,N7 6ZB,NM92Z324BMW
NBJ-76896,Perren,Barten,Dr,+44 989 991 6441,pbarten36@google.co.uk,not membership,2.99,296,Birch Street,North Leonstad,Scottish Borders,W2 1BU,QU33Y890POJ
JBG-18362,Dannye,Howsley,Rev,+44 673 483 5965,dhowsley37@ucsd.edu,not membership,3.99,725,Chestnut Street,Lorraineton,Norfolk,N18 2YY,SY82J489HNP
KIQ-26936,Katherine,Stirrup,Honorable,+44 655 876 4005,kstirrup38@macromedia.com,membership,0,720,Chestnut Street,Maureenhaven,Stirling,E7B 9TP,ZD60E912PQL
CKS-79952,Stanislaw,Palke,Dr,+44 641 916 7380,spalke39@nydailynews.com,not membership,2.99,749,Willow Street,Jenkinsfort,Moray,BS4 7PG,ZO34Z797AIK
AHN-01521,Betteann,Digance,Mrs,+44 816 227 5888,bdigance3a@alexa.com,membership,0,338,Oak Street,Ashleighchester,Moray,KY7 6WW,OV53E191BQZ
JCE-45562,Rochell,Puckey,Ms,+44 753 800 9224,rpuckey3b@hud.gov,not membership,4.99,879,Elm Street,Cameronbury,Tyne and Wear,TD61 2EF,DD85O643AMS
ICO-70881,Nicoli,Sandry,Ms,+44 851 277 6283,nsandry3c@fotki.com,not membership,2.99,53,Cedar Street,Joneschester,Dorset,M0T 3AR,TO95G133HWI
OIR-02901,Fawne,Kittredge,Mrs,+44 207 413 4582,fkittredge3d@timesonline.co.uk,membership,0,792,Ash Street,North Bernardfurt,Inverclyde,L9U 6WH,CI30C966VEM
BYY-33063,Chev,Dytham,Mr,+44 683 895 3187,cdytham3e@soup.io,membership,0,922,Oak Street,Whitechester,Down,E91 5AT,SC71J390MJH
IRK-91133,Robinia,Clemmett,Mr,+44 372 938 5857,rclemmett3f@vk.com,not membership,3.99,217,Willow Street,New Paul,Moray,BR0A 7DJ,PP42I646EDF
CLX-10763,Jessy,Stot,Mrs,+44 777 490 2010,jstot3g@globo.com,membership,0,764,Birch Street,Port Rachel,Essex,EC05 1EA,EZ63B420WXY
QTD-36161,Sheela,Lasslett,Rev,+44 551 756 6650,slasslett3h@nbcnews.com,not membership,5.99,188,Cedar Street,Port Jennifer,Argyll and Bute,B4K 7TX,CT44G876SXR
NJG-83141,Polly,Faber,Rev,+44 964 206 4319,pfaber3i@upenn.edu,not membership,2.99,380,Willow Street,Daleport,Derbyshire,S32 5HX,LO82U198YEC
ZHW-01464,Moishe,Calow,Mr,+44 216 415 5958,mcalow3j@newyorker.com,not membership,3.99,493,Elm Street,West Heather,South Lanarkshire,B5 3AF,IJ71H875XRV
FZP-20032,Stormie,Dive,Ms,+44 859 406 1783,sdive3k@plala.or.jp,membership,0,41,Elm Street,New Laurenside,Tyne and Wear,WA9P 4TF,AW57K317GDP
QQM-84601,Dougy,Broad,Ms,+44 133 730 8050,dbroad3l@instagram.com,not membership,6.99,157,Elm Street,Donnahaven,East Sussex,DN4 3FY,MZ78B601KAQ
JCK-00958,Ricardo,Paddick,Dr,+44 867 288 9688,rpaddick3m@redcross.org,not membership,6.99,15,Oak Street,Turnerville,Breconshire,M1U 7XB,RR33E835REB
MEE-58760,Ania,Ector,Ms,+44 795 809 6878,aector3n@discovery.com,not membership,5.99,813,Oak Street,East Charlieview,Merionethshire,EX61 0JN,HK90U185KJP
VFI-41246,Loralie,Goudie,Mr,+44 106 240 1225,lgoudie3o@hhs.gov,not membership,5.99,65,Ash Street,Daniellemouth,Cleveland,TA6 0WX,UQ18A847EYY
YBH-36909,Derick,Menico,Ms,+44 327 774 1948,dmenico3p@sun.com,not membership,2.99,857,Ash Street,Parkertown,Bedfordshire,WF5X 4LN,VA17W745JJQ
IVN-92350,Farley,Zellner,Rev,+44 281 912 2782,fzellner3q@nba.com,not membership,3.99,839,Birch Street,Jessicaville,West Sussex,DG8 9XP,GJ02A158VHT
YPI-57307,Livvie,Simic,Ms,+44 653 764 7481,lsimic3r@gmpg.org,not membership,3.99,521,Cedar Street,Hopkinsport,Bedfordshire,G3D 1EG,AV71N103EJZ
YFO-19978,Caitlin,Blunsen,Rev,+44 243 858 8603,cblunsen3s@squarespace.com,membership,0,344,Maple Street,Joshton,Highland,B2G 8GW,QP65Q572EWU
AIG-94772,Ewart,Torry,Rev,+44 467 835 1809,etorry3t@unesco.org,not membership,5.99,129,Maple Street,Carterport,Angus,M75 5WY,EK47P001XMY
HPY-58978,Leigh,Gasker,Mrs,+44 783 930 2462,lgasker3u@nymag.com,membership,0,648,Willow Street,North Marianchester,Cleveland,SW7W 8YW,HY35A246NVI
YCD-17038,Pierson,Knudsen,Mr,+44 610 475 5081,pknudsen3v@umich.edu,not membership,2.99,472,Elm Street,Pattersonchester,West Lothian,G7 1GY,MU32V455QQJ
SUM-52621,Bili,Tattoo,Mrs,+44 643 753 7410,btattoo3w@miitbeian.gov.cn,not membership,5.99,63,Cedar Street,New Hazel,Anglesey,TF9 7TE,SE26B748PNK
XYS-91170,Sebastien,Ingraham,Mrs,+44 733 184 7911,singraham3x@cnbc.com,not membership,4.99,139,Chestnut Street,South Leslieland,Merseyside,KW3 8FW,TR42G321LOS
GJY-20691,Wayland,Axleby,Honorable,+44 360 597 4727,waxleby3y@soundcloud.com,membership,0,499,Oak Street,West Michaelfort,Angus,B1G 0WT,JU09X316LNY
QHK-84327,Lem,Loveitt,Dr,+44 788 566 4148,lloveitt3z@bigcartel.com,membership,0,593,Spruce Street,West Bryan,Denbighshire,N9 8JB,GX38G780BJS
DIK-58666,Orson,Brikner,Mrs,+44 920 803 1616,obrikner40@sciencedaily.com,membership,0,392,Pine Street,Parkesborough,South Ayrshire,S1U 4LR,LV93Q586VZR
GGP-05008,Lamont,Wards,Honorable,+44 360 805 5931,lwards41@va.gov,not membership,2.99,675,Birch Street,Melanieland,Armagh,WD04 5JU,LP65A427FTY
ZOX-95070,Caesar,Boteman,Mr,+44 484 767 6378,cboteman42@dedecms.com,membership,0,419,Elm Street,South Graemetown,Dorset,M5 9HW,GY38C914YUM
FNS-68804,Melissa,Brocklehurst,Mr,+44 315 646 8580,mbrocklehurst43@mac.com,membership,0,289,Elm Street,Rogerton,Warwickshire,G9 0TN,ER54K238VMP
LAE-39923,Thekla,Lassell,Dr,+44 488 270 8722,tlassell44@pinterest.com,not membership,3.99,379,Elm Street,Thomasfort,Warwickshire,M97 4HJ,HL90T775NJN
VYA-02903,Gipsy,Gatlin,Mr,+44 434 141 2500,ggatlin45@geocities.com,not membership,3.99,773,Oak Street,Millershire,Aberdeenshire,E6S 4UR,KB47X510VRM
ATW-85486,Bess,Worley,Honorable,+44 871 397 5094,bworley46@freewebs.com,membership,0,490,Oak Street,Hammondside,City of Edinburgh,EN8 3RD,UJ45N302EDL
